Mean,Variance,Median,Lower Quartile,Upper Quartile,Label,Matrix_ID
-31.065371082792495,451.63422548050977,-23.070711866284334,-50.52834016722596,-18.927630907271382,0.0,0.0
-31.975212277883806,381.32144839474404,-34.87534572033289,-44.6513656329612,-18.466531269542582,0.0,0.0
-36.56586300806338,661.1303960262693,-33.67091182060801,-64.94401534631288,-14.908946413061473,1.0,0.0
-35.767837603558576,462.12156219263596,-27.523433629225956,-53.04748771916374,-17.664353270931528,1.0,0.0
,,,,,,
-33.21896989869115,493.45928390989394,-28.67238728126585,-51.22047668879141,-14.843806787922716,0.0,1.0
-33.42974657423799,371.83913614597014,-31.223707439236854,-52.886484086052235,-16.76013296364122,0.0,1.0
-32.34357315623164,407.86512355074007,-25.387349236766234,-48.94281237325727,-16.828919423824658,1.0,1.0
-34.70381260636455,432.0974084914161,-38.67380643509858,-46.34272836361222,-23.5676657186659,1.0,1.0
,,,,,,
-30.47862522817144,356.8338329830094,-19.798057473654502,-44.9227282517145,-15.797618578248645,0.0,2.0
-33.31041071117838,457.5413113465147,-35.030609353681406,-50.833914478880615,-16.864082787548156,0.0,2.0
-32.50548388929726,430.4032622921844,-22.66329191471427,-47.879121989463464,-14.482383514600658,1.0,2.0
-33.539202991405475,365.46472790426884,-32.75450592106154,-47.086698275260964,-19.439175170612355,1.0,2.0
